gamma,alpha,precision,recall,f1
2.0,0.1,0.7244108052239936,0.24483030116055607,0.3563304105774052
2.0,0.15000000000000002,0.7219727479872069,0.26912966146265394,0.380367793990372
2.0,0.20000000000000004,0.6948696464667883,0.2791203431597269,0.38603411709972213
2.0,0.25000000000000006,0.6783263417467187,0.2972475294059904,0.40306656283792763
2.0,0.30000000000000004,0.6611064597041505,0.3120478245785339,0.4138908119615849
3.0,0.1,0.7148508013043111,0.2417888549744853,0.35043650089371636
3.0,0.15000000000000002,0.7294862618226189,0.27359293254479444,0.3858247486447647
3.0,0.20000000000000004,0.7029684106415867,0.276444111392262,0.3856448065055714
3.0,0.25000000000000006,0.6782995049986373,0.2950298602094333,0.39876207981314515
3.0,0.30000000000000004,0.657572662329647,0.3190369942445707,0.4196113471638648
4.0,0.1,0.7388167545396511,0.2463475548099195,0.3570250163525712
4.0,0.15000000000000002,0.739308713614489,0.2677275970345422,0.37869788545712535
4.0,0.20000000000000004,0.7056239318728907,0.28246717207311095,0.39327908838267595
4.0,0.25000000000000006,0.6790911716828574,0.30802976571835966,0.4133254712281185
4.0,0.30000000000000004,0.6537759534010524,0.313492528806964,0.41377517003010994
5.0,0.1,0.7281472749776926,0.24159703003430652,0.3514227531101872
5.0,0.15000000000000002,0.7340738365305837,0.27850385571878616,0.39180098602456737
5.0,0.20000000000000004,0.6921155137132955,0.2903637747541334,0.4002087419253821
5.0,0.25000000000000006,0.6642095658728563,0.29331043004551355,0.3954991373456231
5.0,0.30000000000000004,0.6548320216142964,0.30725608844420255,0.4092992031129428
